PersonId,MetricDate,Copilot Chat (work) in Word prompts submitted,Copilot Chat (work) in PowerPoint prompts submitted,Copilot Chat (work) in Excel prompts submitted,Copilot Chat (web) in Word prompts submitted,Copilot Chat (web) in PowerPoint prompts submitted,Copilot Chat (web) in Excel prompts submitted,Meetings recapped by Copilot,Meeting hours recapped by Copilot,Copilot Chat (Web) prompts submitted in Outlook,Copilot Chat (Web) prompts submitted in Teams,Copilot Enabled User,Copilot Teams Enabled User,Copilot Productivity Apps Enabled User,Copilot Chat Enabled User,Days of active Copilot usage in Word,Days of active Copilot usage in Teams,Days of active Copilot usage in Powerpoint,Days of active Copilot usage in Outlook,Days of active Copilot usage in OneNote,Days of active Copilot usage in Loop,Days of active Copilot usage in Excel,Days of active Copilot chat (work) usage,Days of active Copilot Chat (web) usage,Copilot enabled days for Teams,Copilot enabled days for Productivity App,Copilot enabled days for Power Platform connectors,Copilot enabled days for Intelligent Search,Copilot Chat (work) prompts submitted in Teams,Copilot Chat (work) prompts submitted in Outlook,Copilot chat (work) enabled days,Copilot assisted hours,Copilot actions taken in Word,Copilot actions taken in Teams,Copilot actions taken in Powerpoint,Copilot actions taken in Excel,Copilot actions taken in Outlook,Copilot actions taken in Copilot chat (work),Intelligent recap actions taken,Copilot Chat (web) prompts submitted,Visualize as table actions taken using Copilot in Word,Chat (Copilot in Word) prompts submitted,Add content to presentation actions taken,Organize presentation actions taken,Chat (Copilot in PowerPoint) prompts submitted,Chat (Copilot in Excel) prompts submitted,Total Copilot actions taken,Total Copilot active days,Total Copilot enabled days,Summarize meeting actions taken using Copilot in Teams,Total meetings summarized by Copilot in Teams,Meeting hours summarized by Copilot in Teams,Summarize chat actions taken using Copilot in Teams,Compose chat message actions taken using Copilot in Teams,Total chat conversations summarized by Copilot in Teams,Attended meetings,Meetings,Meeting hours,Uninterrupted hours,Small meeting hours,Multitasking hours,Conflicting meeting hours,Chats sent,Total emails sent using Copilot in Outlook,Summarize email thread actions taken using Copilot in Outlook,Email coaching actions taken using Copilot,Generate email draft actions taken using Copilot in Outlook,Emails sent,Summarize Word document actions taken using Copilot in Word,Summarize presentation actions taken using Copilot in PowerPoint,Create presentation actions taken using Copilot,Rewrite text actions taken using Copilot in Word,Draft Word document actions taken using Copilot,Excel analysis actions taken using Copilot,Create Excel formula actions taken using Copilot,Excel formatting actions taken using Copilot,Copilot chat (work) prompts submitted,Organization,CountryOrRegion,Domain,WeekendDays,IsActive
a1379338-4dcf-424c-a940-c58cfd48c3d6,3/23/25,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,6,6,8,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,6.364439,3.218845,8.545031,50.076464,1.243393,0.03137,0,33,0,0,0,0,139,0,0,0,0,0,0,0,0,14,Pinecrest Innovation Yard,Arcteris,pinecrest.arcteris.example,"[SUNDAY, SATURDAY]",TRUE
18072559-7e3c-4302-a533-8396f5a6562b,8/17/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,0,10,1,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,8,0,0,0,0,0,0,0,13.712895,0,6.724507,0,0.07248,0,747,0,0,0,0,98,0,0,0,0,0,0,0,0,1,Aurora Point Campus,Nordhaven,aurora.nordcloud.example,"[SATURDAY, SUNDAY]",TRUE
1e68116d-2893-41da-8773-b723c4abfe8e,6/29/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,6,0,10,6,0,0,11,0,0,0,0,0,2,28,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,18.835289,0,5.094187,13.523469,7.581423,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,Harborline Collaboration Hub,Vestmark,harborline.vestmark.example,"[SATURDAY, SUNDAY]",TRUE
a57f28f5-3c31-4d99-91fa-dd717455640c,7/27/25,0,0,0,0,0,0,0,0.694857,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,6,7,0,9,0,0,11,0,0,9,0,0,0,0,0,59,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,3.726323,30.394766,0,0.296413,0.031334,0,145,0,0,0,0,29,0,0,0,0,0,0,0,0,0,Granitebay Productivity Loft,Cressida,granitebay.cressida.example,"[FRIDAY, SATURDAY]",TRUE
a6a4b181-7418-443c-8ca2-9b5c94b5a240,9/7/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,7,8,8,6,0,0,6,0.104092,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5.910738,0.350663,59.922409,1.480722,0.554714,0,150,0,0,0,0,28,0,0,0,0,0,0,0,0,0,Maplecore Experience Lab,Aventine,maplecore.aventine.example,"[SATURDAY, SUNDAY]",TRUE
b49ec492-4f64-407a-95fc-d2270f5ece7d,12/21/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,9,8,5,0,0,9,0.473388,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13.178837,10.256099,24.850171,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,Northforge Operations Studio,Terralis,northforge.terralis.example,"[FRIDAY, SATURDAY]",FALSE
d35cd07b-74f6-43ce-8a34-087c30f939d5,3/9/25,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,9,10,7,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,14.813059,9.527969,0,0,10.534596,0,0.476241,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,Oakfield Advisory Works,Mirelia,oakfield.mirelia.example,"[SATURDAY, SUNDAY]",TRUE
a469627a-89a7-47fd-8c4f-44fe0568123b,3/23/25,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,3,0,3,9,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,17.989609,0,0,40,0,0,0,0,11,0,0,0,0,0,0,0,0,0,Riverside Cloud Atelier,Eldoria,riverside.eldoria.example,"[SATURDAY, SUNDAY]",TRUE
42431912-c684-48b2-bf74-c507f8dcdfe0,6/29/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,8,10,9,9,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18.036274,49.949418,0,1.320301,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Maplecore Experience Lab,Aventine,maplecore.aventine.example,"[FRIDAY, SATURDAY]",TRUE
9754a7ea-5e5b-4f06-9ea3-2916f64cc51c,1/26/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,9,10,0,5,0,0,9,0.57558,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,2.868949,0,10.930938,11.130888,1.532204,1.346238,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pinecrest Innovation Yard,Arcteris,pinecrest.arcteris.example,"[SATURDAY, SUNDAY]",TRUE
9b3f261a-7510-40d1-a473-6da108a20853,11/2/25,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,6,9,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,20.128166,20.52679,7.983535,0,0,80,0,0,0,0,93,0,0,0,0,0,0,0,0,41,Aurora Point Campus,Nordhaven,aurora.nordcloud.example,"[SUNDAY, SATURDAY]",TRUE
3b55e9d5-90d8-4502-9933-691ec0d2d926,12/28/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,5,10,9,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,4,11,0,0,0,0,0,0,10.100265,2.854861,35.527388,38.233347,0,0.09574,0,101,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Riverside Cloud Atelier,Eldoria,riverside.eldoria.example,"[FRIDAY, SATURDAY]",TRUE
6e646423-d997-4563-af63-1328f127dd0f,10/26/25,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,3,0,0,0,0,0,2,0,8,8,5,8,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,49,0,7,0,0,0,0,0,0,5.567253,0,10.295471,20.001756,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Aurora Point Campus,Nordhaven,aurora.nordcloud.example,"[SUNDAY, SATURDAY]",TRUE
9deb1a56-c53b-4bad-be5b-2d8ed43c3efe,11/23/25,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,5,8,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8.972478,4.817959,0,39.912658,0.947047,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,52,Skybridge Productivity Center,Luminara,skybridge.luminara.example,"[FRIDAY, SATURDAY]",TRUE
b4a97b17-d94a-468c-80a8-71256b3c1cee,4/20/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,8,6,7,11,0,0,8,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,44,0,6,0,0,0,0,0,0,4.53919,4.403179,13.181796,0,0,0.348664,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,Sunpeak Delivery Base,Kestrelia,sunpeak.kestrelia.example,"[SATURDAY, SUNDAY]",TRUE
84479a7a-653f-471d-b0ab-0124a7c59935,8/31/25,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3,0,2,0,0,0,0,0,9,9,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,21.794765,18.482746,2.997123,0,0,0,17,0,0,0,0,139,0,0,0,0,0,0,0,0,0,Pinecrest Innovation Yard,Arcteris,pinecrest.arcteris.example,"[SUNDAY, SATURDAY]",TRUE
5b192d35-f9e0-4514-a001-d11ffdedddbc,6/8/25,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,3,0,0,0,0,0,0,0,0,6,10,8,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35,0,5,0,0,0,0,0,0,11.400221,6.559534,0,19.939637,1.909338,0.164112,0,332,0,0,0,1,48,0,0,0,0,0,0,0,0,0,Oakfield Advisory Works,Mirelia,oakfield.mirelia.example,"[SATURDAY, SUNDAY]",TRUE
83e74927-f1ea-4761-97b0-356e8362425f,4/6/25,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,3,0,8,10,9,0,0,0,11,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,17.469585,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,161,Bluehaven Service Arena,Driftland,bluehaven.driftland.example,"[SATURDAY, SUNDAY]",FALSE
1418d239-7a94-4f63-8794-f5c6a78d1512,7/27/25,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,6,11,5,10,0,0,6,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,9.431544,5.470744,18.997138,4.990095,4.035637,0.315482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bluehaven Service Arena,Driftland,bluehaven.driftland.example,"[SATURDAY, SUNDAY]",TRUE
7cbc25ee-ea00-4116-8947-3ab0a5765247,9/28/25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,8,9,7,8,0,0,7,0.719801,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,2.315401,3.949571,8.545785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Maplecore Experience Lab,Aventine,maplecore.aventine.example,"[FRIDAY, SATURDAY]",TRUE
